Filename,LBP Histogram Value
normal_1.jpeg,"0.02704235124764346,0.05628019448743643,0.04889629924968831,0.12581101163503938,0.17447429876291937,0.16221527213222603,0.09186114548756703,0.06178704763283975,0.16154212600255755,0.09009025336182379"
normal_10.jpg,"0.006001276572122161,0.022922795137909388,0.011745851140581295,0.09794915912742275,0.25558500305249515,0.23671393683726707,0.062003940722607814,0.04860687128819406,0.2189182438806274,0.03955292224007913"
normal_100.jpg,"0.006894909268334014,0.02402472176396755,0.013917609609880621,0.09890448198140123,0.17567206487129366,0.24010780919617086,0.0731836241547938,0.06048583842557884,0.26571830200500374,0.04109063872299479"
normal_11.jpg,"0.009498380048217347,0.030308167570811527,0.020621421036759426,0.1137498116334606,0.2481681359251393,0.23783152501495733,0.08118124623263205,0.050986098553321375,0.15323142706442452,0.054423786919805595"
normal_12.jpg,"0.0072119846214986,0.026865968447549474,0.014165451411895688,0.09999337133759778,0.21141455654234959,0.2537584515443101,0.07045605196866601,0.06049317247775388,0.21209068010061508,0.04355031154710092"
normal_13.jpg,"0.019615438794161826,0.04174883786441445,0.030849415410566895,0.12218270178876922,0.22328849133641482,0.20897309480171683,0.07728201155078658,0.06291379067463214,0.1442808846313842,0.0688653331453922"
normal_14.jpg,"0.01596932209175709,0.04176187849653581,0.030555336677758907,0.10897486407680948,0.1906425375811462,0.1932603157091261,0.08048573354688757,0.0599812640628442,0.210989415070863,0.06737933268539614"
normal_15.jpg,"0.0064592481858628675,0.024472889221075416,0.014618954187290405,0.10520414836955047,0.25213491544411093,0.2315176430282902,0.07024198822755598,0.04886480426045728,0.20284655392556428,0.043638855149619335"
normal_16.jpg,"0.013078765156515501,0.040476990258627714,0.024916835523949788,0.1079621181747657,0.2018865062250361,0.20930900343482325,0.08213507861341135,0.06282575010561464,0.19180924723948561,0.06559970526722854"
normal_17.jpg,"0.00663397944476176,0.024629911502024118,0.013779819232469605,0.10411643475794116,0.236385188377917,0.23143496006126738,0.07249558857199552,0.049812093374069014,0.21669877018803008,0.044013254488850864"
normal_18.jpg,"0.006894909268334014,0.02402472176396755,0.013917609609880621,0.09890448198140123,0.17567206487129366,0.24010780919617086,0.0731836241547938,0.06048583842557884,0.26571830200500374,0.04109063872299479"
